cve_id,description,published_date,cvss_score,vendor_raw,software_raw,vendor,software,software_version,operatig_system,source,reason,trigger,attacker_action,user_interaction,system_state,network_access,privilege,vulnerability_type,consequences
CVE-2024-39542,"An Improper Validation of Syntactic Correctness of Input vulnerability in the Packet Forwarding Engine (PFE) of Juniper Networks Junos OS on MX Series with MPC10/11 or LC9600, MX304, and Junos OS Evolved on ACX Series and PTX Series allows an unauthenticated, network based attacker to cause a Denial-of-Service (DoS). This issue can occur in two scenarios: 1. If a device, which is configured with SFLOW and ECMP, receives specific valid transit traffic, which is subject to sampling, the packetio process crashes, which in turn leads to an evo-aftman crash and causes the FPC to stop working until it is restarted. (This scenario is only applicable to PTX but not to ACX or MX.) 2. If a device receives a malformed CFM packet on an interface configured with CFM, the packetio process crashes, which in turn leads to an evo-aftman crash and causes the FPC to stop working until it is restarted. Please note that the CVSS score is for the formally more severe issue 1. The CVSS score for scenario 2. is: 6.5 (CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H) This issue affects Junos OS: * All versions before 21.2R3-S4, * 21.4 versions before 21.4R2, * 22.2 versions before 22.2R3-S2; Junos OS Evolved: * All versions before 21.2R3-S8-EVO, * 21.4 versions before 21.4R2-EVO.",2024-07-11T16:17:56.613Z,7.5,Juniper Networks,Junos OS,Juniper Networks,Junos OS,"All versions before 21.2R3-S4, 21.4 versions before 21.4R2, 22.2 versions before 22.2R3-S2; Junos OS Evolved: All versions before 21.2R3-S8-EVO, 21.4 versions before 21.4R2-EVO",,"Packet Forwarding Engine (PFE) on MX Series with MPC10/11 or LC9600, MX304, and Junos OS Evolved on ACX Series and PTX Series",Improper Validation of Syntactic Correctness of Input,receiving specific valid transit traffic subject to sampling or a malformed CFM packet,send specific valid transit traffic or malformed CFM packet,No,Device configured with SFLOW and ECMP or interface configured with CFM,Network,Unauthenticated,Denial-of-Service (DoS),"packetio process crash leading to evo-aftman crash, causing FPC to stop working until restart"
CVE-2024-30428,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Contest Gallery allows Reflected XSS.This issue affects Contest Gallery: from n/a through 21.3.5.,2024-03-29T13:24:16.040Z,7.1,Contest Gallery,Contest Gallery,,Contest Gallery,from n/a through 21.3.5,,Web Page Generation,Improper Neutralization of Input,Reflected input in web page generation,Inject malicious scripts into web page,Yes,,Remote,Unauthenticated,Cross-site Scripting (XSS),Execution of arbitrary scripts in user's browser
CVE-2024-22149,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Oliver Seidel, Bastian Germann CformsII allows Stored XSS.This issue affects CformsII: from n/a through 15.0.5.",2024-03-27T05:51:32.364Z,7.1,"Oliver Seidel, Bastian Germann",CformsII,"Oliver Seidel, Bastian Germann",CformsII,from n/a through 15.0.5,,Web Page Generation,Improper Neutralization of Input,Input during web page generation,Inject malicious scripts into the web page,Yes,,Remote,Authenticated,Cross-site Scripting (Stored XSS),Execution of malicious scripts in the context of the user
CVE-2024-4157,"The Contact Form Plugin by Fluent Forms for Quiz, Survey, and Drag & Drop WP Form Builder plugin for WordPress is vulnerable to PHP Object Injection in all versions up to, and including, 5.1.15 via deserialization of untrusted input in the extractDynamicValues function. This makes it possible for authenticated attackers, with contributor-level access and above, to inject a PHP Object. If a POP chain is present via an additional plugin or theme installed on the target system, it could allow the attacker to delete arbitrary files, retrieve sensitive data, or execute code. Successful exploitation requires the attacker to have ""View Form"" and ""Manage Form"" permissions, which must be explicitly set by an administrator. However, this requirement can be bypassed when this vulnerability is chained with CVE-2024-2771.",2024-05-22T07:37:24.259Z,7.5,techjewel,"Contact Form Plugin by Fluent Forms for Quiz, Survey, and Drag & Drop WP Form Builder",WordPress,"Contact Form Plugin by Fluent Forms for Quiz, Survey, and Drag & Drop WP Form Builder",up to 5.1.15,,extractDynamicValues function,deserialization of untrusted input,,inject a PHP Object,No,Presence of a POP chain via additional plugin or theme,Remote,Authenticated attackers with contributor-level access and above,PHP Object Injection,"Delete arbitrary files, retrieve sensitive data, or execute code"
CVE-2024-0474,A vulnerability classified as critical was found in code-projects Dormitory Management System 1.0. Affected by this vulnerability is an unknown functionality of the file login.php. The manipulation of the argument username leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250579.,2024-01-12T22:31:03.524Z,7.3,code-projects,Dormitory Management System,code-projects,Dormitory Management System,1,,login.php,manipulation of the argument username,manipulation of the argument username,inject SQL commands into the username argument,No,,Remote,Unauthenticated,SQL injection,Potential unauthorized access or manipulation of database data
CVE-2024-25634,"alf.io is an open source ticket reservation system. Prior to version 2.0-Mr-2402, an attacker can access data from other organizers. The attacker can use a specially crafted request to receive the e-mail log sent by other events. Version 2.0-M4-2402 fixes this issue.",2024-02-19T19:53:52.668Z,7.2,alfio-event,alf.io,alf.io,open source ticket reservation system,prior to version 2.0-Mr-2402,,access control mechanism,insufficient access control,specially crafted request,send specially crafted request to receive e-mail logs,No,,Remote,Low,Unauthorized Data Access,Attacker can receive e-mail logs from other events
CVE-2024-3623,"A flaw was found when using mirror-registry to install Quay. It uses a default database secret key, which is stored in plain-text format in one of the configuration template files. This issue may lead to all instances of Quay deployed using mirror-registry to have the same database secret key. This flaw allows a malicious actor to access sensitive information from Quay's database.",2024-04-25T17:46:47.141Z,8.1,Red Hat,mirror registry for Red Hat OpenShift,,Quay,,,configuration template files,default database secret key stored in plain-text,installing Quay using mirror-registry,access sensitive information from Quay's database,No,Quay deployed using mirror-registry,Local or Remote depending on deployment,None,Information Disclosure,Access to sensitive information from Quay's database
CVE-2024-38260,Windows Remote Desktop Licensing Service Remote Code Execution Vulnerability,2024-09-10T16:54:08.796Z,8.8,Microsoft,Windows Server 2019,Microsoft,Windows Remote Desktop Licensing Service,,Windows,Remote Desktop Licensing Service,,,Execute remote code,No,,Remote,,Remote Code Execution,Remote code execution on the affected system
CVE-2024-7351,"The Simple Job Board plugin for WordPress is vulnerable to PHP Object Injection in all versions up to, and including, 2.12.3 via deserialization of untrusted input when editing job applications. This makes it possible for authenticated attackers, with Editor-level access and above, to inject a PHP Object. No known POP chain is present in the vulnerable software. If a POP chain is present via an additional plugin or theme installed on the target system, it could allow the attacker to delete arbitrary files, retrieve sensitive data, or execute code.",2024-08-24T07:33:44.437Z,7.2,presstigers,Simple Job Board,WordPress,Simple Job Board plugin,up to and including 2.12.3,,deserialization of untrusted input,processing untrusted input during job applications editing,editing job applications,inject a PHP Object,No,Presence of a POP chain via additional plugin or theme,Remote,Editor-level access and above,PHP Object Injection,"Delete arbitrary files, retrieve sensitive data, or execute code"
CVE-2024-1351,"Under certain configurations of --tlsCAFile and tls.CAFile, MongoDB Server may skip peer certificate validation which may result in untrusted connections to succeed. This may effectively reduce the security guarantees provided by TLS and open connections that should have been closed due to failing certificate validation. This issue affects MongoDB Server v7.0 versions prior to and including 7.0.5, MongoDB Server v6.0 versions prior to and including 6.0.13, MongoDB Server v5.0 versions prior to and including 5.0.24 and MongoDB Server v4.4 versions prior to and including 4.4.28. Required Configuration : A server process will allow incoming connections to skip peer certificate validation if the server process was started with TLS enabled (net.tls.mode set to allowTLS, preferTLS, or requireTLS) and without a net.tls.CAFile configured.",2024-03-07T16:10:19.597Z,8.8,MongoDB Inc,MongoDB Server,MongoDB,MongoDB Server,v7.0 versions prior to and including 7.0.5; v6.0 versions prior to and including 6.0.13; v5.0 versions prior to and including 5.0.24; v4.4 versions prior to and including 4.4.28,,#NAME?,may skip peer certificate validation,"net.tls.mode set to allowTLS, preferTLS, or requireTLS, and without a net.tls.CAFile configured",establish untrusted connections,No,Server process started with TLS enabled,Network,None,Improper Certificate Validation,"Untrusted connections are established due to skipped certificate validation, reducing TLS security guarantees"
CVE-2024-35264,.NET and Visual Studio Remote Code Execution Vulnerability,2024-07-09T17:02:10.148Z,8.1,Microsoft,.NET 8.0,Microsoft,.NET and Visual Studio,,,,,,,,,,,Remote Code Execution Vulnerability,Arbitrary code execution
CVE-2024-37973,Secure Boot Security Feature Bypass Vulnerability,2024-07-09T17:02:59.552Z,8.8,Microsoft,Windows 10 Version 1809,,,,,Secure Boot,,,Bypass Secure Boot security feature,No,,,,Security Feature Bypass,Potential vulnerability of systems that rely on Secure Boot for integrity and boot validation
CVE-2024-6319,"The IMGspider plugin for WordPress is vulnerable to arbitrary file uploads due to missing file type validation in the 'upload' function in all versions up to, and including, 2.3.10. This makes it possible for authenticated attackers, with contributor-level and above permissions, to upload arbitrary files on the affected site's server which may make remote code execution possible.",2024-07-04T08:32:21.972Z,8.8,wbolt,IMGspider – 图片采集抓取插件,WordPress,IMGspider plugin,up to and including 2.3.10,,'upload' function,missing file type validation,attempt to upload a file with arbitrary file type,upload arbitrary files,No,,Remote,Authenticated with contributor-level and above permissions,Arbitrary File Upload,Possible remote code execution on the server
CVE-2024-32881,"Danswer is the AI Assistant connected to company's docs, apps, and people. Danswer is vulnerable to unauthorized access to GET/SET of Slack Bot Tokens. Anyone with network access can steal slack bot tokens and set them. This implies full compromise of the customer's slack bot, leading to internal Slack access. This issue was patched in version 3.63.",2024-04-26T20:46:33.551Z,9.8,danswer-ai,danswer,Danswer,Danswer AI Assistant,before 3.63,,Slack Bot Tokens,Lack of proper authorization,Unauthorized GET/SET of Slack Bot Tokens,Steal and set slack bot tokens,No,,Network access,Unauthenticated,Unauthorized access,Compromise of customer's slack bot leading to internal Slack access
CVE-2024-1797,"The WP ULike – Most Advanced WordPress Marketing Toolkit plugin for WordPress is vulnerable to SQL Injection via the 'status' and 'id' attributes of the 'wp_ulike_counter' and 'wp_ulike' shortcodes in all versions up to, and including, 4.6.9 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query. This makes it possible for authenticated attackers, with contributor-level access and above, to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database.",2024-05-02T16:52:42.452Z,8.8,alimir,WP ULike – Most Advanced WordPress Marketing Toolkit,WordPress,WP ULike – Most Advanced WordPress Marketing Toolkit plugin,up to and including 4.6.9,,'status' and 'id' attributes of the 'wp_ulike_counter' and 'wp_ulike' shortcodes,insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query,use of 'status' and 'id' attributes in shortcodes,append additional SQL queries into existing queries,No,,Remote,"Authenticated, contributor-level access and above",SQL Injection,extract sensitive information from the database
CVE-2024-7782,"The Contact Form by Bit Form: Multi Step Form, Calculation Contact Form, Payment Contact Form & Custom Contact Form builder plugin for WordPress is vulnerable to arbitrary file deletion due to insufficient file path validation in the iconRemove function in versions 2.0 to 2.13.4. This makes it possible for authenticated attackers, with Administrator-level access and above, to delete arbitrary files on the server, which can easily lead to remote code execution when the right file is deleted (such as wp-config.php).",2024-08-20T03:21:11.466Z,8.7,bitpressadmin,"Contact Form by Bit Form: Multi Step Form, Calculation Contact Form, Payment Contact Form & Custom Contact Form builder",Bit Form,Contact Form plugin,2.0 to 2.13.4,,iconRemove function,insufficient file path validation,,delete arbitrary files on the server,No,Authenticated with Administrator-level access and above,Local,Administrator-level access and above,Arbitrary file deletion,Remote code execution when critical files are deleted (such as wp-config.php)
CVE-2024-2175,An insecure permissions vulnerability was reported in Lenovo Display Control Center (LDCC) and Lenovo Accessories and Display Manager (LADM) that could allow a local attacker to escalate privileges.,2024-08-16T14:17:03.626Z,7.8,Lenovo,Display Control Center,Lenovo,Display Control Center (LDCC) and Accessories and Display Manager (LADM),,,Display Control Center (LDCC) and Accessories and Display Manager (LADM),insecure permissions,,local attacker escalates privileges,No,,Local,Low or None,Insecure Permissions,escalate privileges
CVE-2024-33992,Cross-Site Scripting (XSS) vulnerability in School Event Management System affecting version 1.0. An attacker could exploit this vulnerability by sending a specially crafted query to the server and retrieve all the information stored in it through the 'view' parameter in '/student/index.php'.,2024-08-06T13:07:18.963Z,7.1,Janobe,School Event Management System,,School Event Management System,1,,'view' parameter in '/student/index.php',Improper sanitization of input,sending a specially crafted query to the server,send a specially crafted query to the server,No,,Remote,Unauthenticated,Cross-Site Scripting (XSS),retrieve all the information stored in the server
CVE-2024-0402,"An issue has been discovered in GitLab CE/EE affecting all versions from 16.0 prior to 16.6.6, 16.7 prior to 16.7.4, and 16.8 prior to 16.8.1 which allows an authenticated user to write files to arbitrary locations on the GitLab server while creating a workspace.",2024-01-26T01:02:39.052Z,9.9,GitLab,GitLab,GitLab,GitLab CE/EE,"all versions from 16.0 prior to 16.6.6, 16.7 prior to 16.7.4, and 16.8 prior to 16.8.1",,GitLab server workspace creation,Improper handling of file write operations during workspace creation,creating a workspace,write files to arbitrary locations on the GitLab server,No,Authenticated user access to GitLab server,Remote,Authenticated user,Unauthorized file write,Write files to arbitrary locations on the GitLab server
CVE-2024-28904,Microsoft Brokering File System Elevation of Privilege Vulnerability,2024-04-09T17:01:10.655Z,7.8,Microsoft,"Windows Server 2022, 23H2 Edition (Server Core installation)",Microsoft,Brokering File System,,,File system brokering functionality,Vulnerability in elevation handling,,Exploit the file system brokering to gain elevated privileges,Not specified,Requires specific conditions for file system brokering,Local,Low,Elevation of Privilege,Gain elevated privileges
CVE-2024-25636,"Misskey is an open source, decentralized social media platform with ActivityPub support. Prior to version 2024.2.0, when fetching remote Activity Streams objects, Misskey doesn't check that the response from the remote server has a `Content-Type` header value of the Activity Streams media type, which allows a threat actor to upload a crafted Activity Streams document to a remote server and make a Misskey instance fetch it, if the remote server accepts arbitrary user uploads. The vulnerability allows a threat actor to impersonate and take over an account on a remote server that satisfies all of the following properties: allows the threat actor to register an account; accepts arbitrary user-uploaded documents and places them on the same domain as legitimate Activity Streams actors; and serves user-uploaded document in response to requests with an `Accept` header value of the Activity Streams media type. Version 2024.2.0 contains a patch for the issue.",2024-02-19T19:42:20.688Z,7.1,misskey-dev,misskey,Misskey,Misskey,prior to 2024.2.0,,Fetching remote Activity Streams objects,doesn't check `Content-Type` header value of the Activity Streams media type,Uploading a crafted Activity Streams document to a remote server,Upload a crafted document and make a Misskey instance fetch it,No,Remote server accepts arbitrary user uploads,Remote,Requires registration on the remote server,Lack of Content-Type validation,Impersonate and take over an account on a remote server
CVE-2024-37998,"A vulnerability has been identified in CPCI85 Central Processing/Communication (All versions < V5.40), SICORE Base system (All versions < V1.4.0). The password of administrative accounts of the affected applications can be reset without requiring the knowledge of the current password, given the auto login is enabled. This could allow an unauthorized attacker to obtain administrative access of the affected applications.",2024-07-22T13:54:49.501Z,9.8,Siemens,CPCI85 Central Processing/Communication,,"CPCI85 Central Processing/Communication, SICORE Base system","All versions < V5.40, All versions < V1.4.0",,Password reset functionality,Password reset without requiring current password,Perform a password reset with auto login enabled,Reset the password without knowing the current password,No,Auto login is enabled,Local or Remote,Unauthenticated,Improper Authentication,Unauthorized attacker can gain administrative access
CVE-2024-38253,Windows Win32 Kernel Subsystem Elevation of Privilege Vulnerability,2024-09-10T16:53:48.103Z,7.8,Microsoft,Windows 11 version 21H2,Microsoft,Windows Win32 Kernel Subsystem,,Windows,Win32 Kernel Subsystem,Unknown,Exploitation of a flaw in the Win32 Kernel Subsystem,Exploit the vulnerability to gain elevated privileges,No,Unknown,Local access,Low or none,Elevation of Privilege,Attacker gains elevated privileges on the system
CVE-2024-23670,An improper authorization in Fortinet FortiWebManager version 7.2.0 and 7.0.0 through 7.0.4 and 6.3.0 and 6.2.3 through 6.2.4 and 6.0.2 allows attacker to execute unauthorized code or commands via HTTP requests or CLI.,2024-06-03T09:48:12.424Z,7.6,Fortinet,FortiWebManager,Fortinet,FortiWebManager,"version 7.2.0, 7.0.0 through 7.0.4, 6.3.0, 6.2.3 through 6.2.4, 6.0.2",,Improper authorization,Lack of proper authorization mechanism,HTTP requests or CLI,Execute unauthorized code or commands,No,,Remote,Unauthenticated or insufficiently authenticated access,Improper Authorization,Execute unauthorized code or commands
CVE-2024-21378,Microsoft Outlook Remote Code Execution Vulnerability,2024-02-13T18:02:42.999Z,8.8,Microsoft,Microsoft Office 2019,Microsoft,Outlook,,,,,,Exploit remote code execution,Yes/No (depends on specific details not provided),,Remote,,Remote Code Execution,Potential execution of arbitrary code
CVE-2024-22100,"MicroDicom DICOM Viewer versions 2023.3 (Build 9342) and prior are affected by a heap-based buffer overflow vulnerability, which could allow an attacker to execute arbitrary code on affected installations of DICOM Viewer. A user must open a malicious DCM file in order to exploit the vulnerability.",2024-03-01T00:37:47.300Z,7.8,MicroDicom,DICOM Viewer,MicroDicom,DICOM Viewer,2023.3 (Build 9342) and prior,,DCM file handling,heap-based buffer overflow vulnerability,user opens a malicious DCM file,craft a malicious DCM file to trigger buffer overflow,Yes,,Local,None,Buffer overflow,execute arbitrary code on affected installations
CVE-2024-4640,"OnCell G3470A-LTE Series firmware versions v1.7.7 and prior have been identified as vulnerable due to missing bounds checking on buffer operations. An attacker could write past the boundaries of allocated buffer regions in memory, causing a program crash.",2024-06-25T09:19:08.712Z,7.1,Moxa,OnCell G3150A-LTE Series,OnCell,G3470A-LTE Series firmware,v1.7.7 and prior,,buffer operations,missing bounds checking,write past the boundaries of allocated buffer regions in memory,write past allocated buffer boundaries,No,,Local/Remote,Unknown,Buffer Overflow,Program crash
CVE-2024-4262,"The Piotnet Addons For Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via multiple widgets in all versions up to, and including, 2.4.28 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",2024-05-22T09:31:40.438Z,7.2,piotnetdotcom,Piotnet Addons For Elementor,WordPress,Piotnet Addons For Elementor plugin,up to and including 2.4.28,,multiple widgets,insufficient input sanitization and output escaping on user supplied attributes,user accesses an injected page,inject arbitrary web scripts in pages,"Yes, a user must access the injected page",,Remote,"Authenticated, with contributor-level access and above",Stored Cross-Site Scripting,Arbitrary web scripts execute whenever a user accesses an injected page
CVE-2024-3817,HashiCorp’s go-getter library is vulnerable to argument injection when executing Git to discover remote branches. This vulnerability does not affect the go-getter/v2 branch and package.,2024-04-17T19:37:25.878Z,9.8,HashiCorp,Shared library,HashiCorp,go-getter library,,,Git execution for discovering remote branches,argument injection vulnerability,executing Git to discover remote branches,inject arguments during Git execution,No,Using vulnerable go-getter library version,Local,None,Argument Injection,Unauthorized command execution or branch discovery manipulation
CVE-2024-35227,"Discourse is an open-source discussion platform. Prior to version 3.2.3 on the `stable` branch and version 3.3.0.beta3 on the `tests-passed` branch, Oneboxing against a carefully crafted malicious URL can reduce the availability of a Discourse instance. The problem has been patched in version 3.2.3 on the `stable` branch and version 3.3.0.beta3 on the `tests-passed` branch. There are no known workarounds available for this vulnerability.",2024-07-03T17:39:38.293Z,7.5,discourse,discourse,Discourse,Discourse discussion platform,prior to version 3.2.3 on the `stable` branch and 3.3.0.beta3 on the `tests-passed` branch,,Oneboxing feature,Oneboxing against a carefully crafted malicious URL,Oneboxing against a malicious URL,Craft a malicious URL designed to exploit Oneboxing,No,Running vulnerable versions of Discourse prior to specified patches,Remote,Unauthenticated or minimally authenticated,Denial of Service (DoS),Reduced availability of the Discourse instance
CVE-2024-32859,"Dell Client Platform BIOS contains an Improper Input Validation vulnerability in an externally developed component. A high privileged attacker with local access could potentially exploit this vulnerability, leading to Code execution.",2024-06-13T12:39:41.863Z,7.5,Dell,CPG BIOS,Dell,Client Platform BIOS,,,externally developed component,Improper Input Validation,,Local access by high privileged attacker,No,,Local,High privileged,Improper Input Validation,Code execution
CVE-2024-7908,"A vulnerability, which was classified as critical, was found in TOTOLINK EX1200L 9.3.5u.6146_B20201023. Affected is the function setDefResponse of the file /www/cgi-bin/cstecgi.cgi. The manipulation of the argument IpAddress leads to stack-based buffer overflow. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.",2024-08-18T17:00:05.376Z,8.8,TOTOLINK,EX1200L,TOTOLINK,EX1200L,9.3.5u.6146_B20201023,,"/www/cgi-bin/cstecgi.cgi, function setDefResponse",Manipulation of the argument IpAddress,Manipulation of the argument IpAddress,Manipulate the argument IpAddress to cause a buffer overflow,No,,Remote,Unauthenticated,Stack-based buffer overflow,Potential for arbitrary code execution or system crash
CVE-2024-0210,Zigbee TLV dissector crash in Wireshark 4.2.0 allows denial of service via packet injection or crafted capture file,2024-01-03T07:31:25.644Z,7.8,Wireshark Foundation,Wireshark,Wireshark,Wireshark,4.2.0,,Zigbee TLV dissector,Flaw in dissecting TLV,Packet injection or crafted capture file,Inject packets or create crafted capture file,No,,Local,Unauthenticated,Denial of Service,Denial of service
